timestamp,symbol,bid_price,bid_size,ask_price,ask_size,trade_price,trade_size
2025-08-05 08:19:59,SPY,628.30,290,628.35,520,628.29,5
2025-08-05 08:20:01,SPY,628.30,290,628.35,520,628.29,5
2025-08-05 08:20:03,SPY,628.26,150,628.31,871,628.28,100
2025-08-05 08:20:05,SPY,628.26,150,628.31,871,628.28,100
2025-08-05 08:20:07,SPY,628.19,350,628.24,350,628.20,100
2025-08-05 08:20:09,SPY,628.19,350,628.24,350,628.20,100
2025-08-05 08:20:12,SPY,628.19,350,628.24,350,628.20,100
2025-08-05 08:20:14,SPY,628.27,861,628.33,201,628.26,18
2025-08-05 08:20:17,SPY,628.27,861,628.33,201,628.26,18
2025-08-05 08:20:19,SPY,628.37,550,628.44,200,628.27,50
2025-08-05 08:20:21,SPY,628.37,550,628.44,200,628.27,50
2025-08-05 08:20:23,SPY,628.38,550,628.44,200,628.39,20
2025-08-05 08:20:25,SPY,628.38,550,628.44,200,628.39,20
2025-08-05 08:20:27,SPY,628.38,550,628.44,200,628.39,20
2025-08-05 08:20:29,SPY,628.38,550,628.44,200,628.39,20
2025-08-05 08:20:32,SPY,628.38,550,628.44,200,628.39,20
2025-08-05 08:20:34,SPY,628.38,556,628.44,200,628.41,20
2025-08-05 08:20:36,SPY,628.38,556,628.44,200,628.41,20
2025-08-05 08:20:38,SPY,628.41,250,628.46,851,628.39,73
2025-08-05 08:20:40,SPY,628.41,250,628.46,851,628.39,73
2025-08-05 08:20:42,SPY,628.41,250,628.46,851,628.39,73
2025-08-05 08:20:44,SPY,628.43,750,628.49,470,628.46,100
2025-08-05 08:20:46,SPY,628.43,750,628.49,470,628.46,100
2025-08-05 08:20:49,SPY,628.49,350,628.55,620,628.45,50
2025-08-05 08:20:51,SPY,628.49,350,628.55,620,628.45,50
timestamp,symbol,bid_price,bid_size,ask_price,ask_size,trade_price,trade_size
2025-08-06 09:39:57,SPY,7.8100,"18,128",7.8600,"1,184",7.8150,21
2025-08-06 09:39:59,SPY, , , , , , 
2025-08-06 09:40:01,SPY, , , , , , 
2025-08-06 09:40:03,SPY, , , , , , 
2025-08-06 09:40:05,SPY, , , , , , 
2025-08-06 09:40:07,SPY, , , , , , 
2025-08-06 09:40:09,SPY, , , , , , 
2025-08-06 09:40:11,SPY, , , , , , 
2025-08-06 09:40:13,SPY, , , , , , 
2025-08-06 09:40:16,SPY, , , , , , 
timestamp,symbol,bid_price,bid_size,ask_price,ask_size,trade_price,trade_size
2025-08-06 10:01:34,SPY,7.7300,"21,520",7.7800,"2,638",7.7350,"2,000"
2025-08-06 10:01:36,SPY,632.54,70,632.61,250,632.53,20
2025-08-06 10:01:38,SPY,632.54,70,632.61,250,632.53,20
2025-08-06 10:01:40,SPY,632.54,70,632.61,250,632.53,20
2025-08-06 10:01:42,SPY,632.54,70,632.61,250,632.53,20
2025-08-06 10:01:45,SPY,632.54,220,632.62,251,632.53,20
2025-08-06 10:01:47,SPY,632.54,220,632.62,251,632.53,20
2025-08-06 10:01:49,SPY,632.54,220,632.62,251,632.53,20
2025-08-06 10:01:51,SPY,632.54,220,632.62,251,632.53,20
2025-08-06 10:01:53,SPY,632.54,220,632.62,251,632.53,20
2025-08-06 10:01:55,SPY,632.41,20,632.47,221,632.42,5
2025-08-06 10:01:57,SPY,632.41,20,632.47,221,632.42,5
2025-08-06 10:01:59,SPY,632.41,20,632.47,221,632.42,5
2025-08-06 10:02:01,SPY,632.41,20,632.47,221,632.42,5
2025-08-06 10:02:04,SPY,632.41,20,632.47,221,632.42,5
2025-08-06 10:02:06,SPY,632.44,150,632.52,245,632.45,20
2025-08-06 10:02:08,SPY,632.44,150,632.52,245,632.45,20
2025-08-06 10:02:10,SPY,632.44,150,632.52,245,632.45,20
2025-08-06 10:02:12,SPY,632.43,330,632.52,246,632.45,100
2025-08-06 10:02:14,SPY,632.43,330,632.52,246,632.45,100
2025-08-06 10:02:16,SPY,632.43,330,632.52,246,632.45,100
2025-08-06 10:02:18,SPY,632.23,250,632.32,266,632.27,40
2025-08-06 10:02:21,SPY,632.23,250,632.32,266,632.27,40
2025-08-06 10:02:23,SPY,632.23,250,632.32,266,632.27,40
2025-08-06 10:02:25,SPY,632.19,450,632.29,301,632.29,36
2025-08-06 10:02:27,SPY,632.19,450,632.29,301,632.29,36
2025-08-06 10:02:29,SPY,632.27,550,632.36,349,632.26,50
2025-08-06 10:02:31,SPY,632.27,550,632.36,349,632.26,50
2025-08-06 10:02:34,SPY,632.27,550,632.36,349,632.26,50
2025-08-06 10:02:36,SPY,632.29,250,632.37,701,632.25,472
2025-08-06 10:02:38,SPY,632.29,250,632.37,701,632.25,472
2025-08-06 10:02:40,SPY,632.29,250,632.37,701,632.25,472
2025-08-06 10:02:42,SPY,632.30,550,632.39,354,632.32,7
2025-08-06 10:02:44,SPY,632.30,550,632.39,354,632.32,7
2025-08-06 10:02:46,SPY,632.30,550,632.39,354,632.32,7
2025-08-06 10:02:49,SPY,632.30,550,632.38,254,632.29,21
2025-08-06 10:02:51,SPY,632.30,550,632.38,254,632.29,21
2025-08-06 10:02:53,SPY,632.30,550,632.38,254,632.29,21
2025-08-06 10:02:55,SPY,632.25,570,632.35,261,632.32,4
2025-08-06 10:02:57,SPY,632.25,570,632.35,261,632.32,4
2025-08-06 10:02:59,SPY,632.25,560,632.34,220,632.21,26
2025-08-06 10:03:01,SPY,632.25,560,632.34,220,632.21,26
2025-08-06 10:03:04,SPY,632.25,560,632.34,220,632.21,26
2025-08-06 10:03:06,SPY,632.25,560,632.33,200,632.27,200
2025-08-06 10:03:08,SPY,632.25,560,632.33,200,632.27,200
2025-08-06 10:03:10,SPY,632.25,560,632.33,200,632.27,200
2025-08-06 10:03:12,SPY,632.21,160,632.28,560,632.20,35
2025-08-06 10:03:14,SPY,632.21,160,632.28,560,632.20,35
2025-08-06 10:03:16,SPY,632.21,160,632.28,560,632.20,35
2025-08-06 10:03:18,SPY,632.19,150,632.26,304,632.19,50
2025-08-06 10:03:21,SPY,632.19,150,632.26,304,632.19,50
2025-08-06 10:03:23,SPY,632.19,150,632.26,304,632.19,50
